label,poem,prediction
UA11_1,Invero una tu sei Verona bella poi che la mia Veronica gentile con l unica bellezza sua t abbella Quella a cui non fu mai pari o simile d Adria ninfa leggiadra hor col bel viso t apporta a mezzo l verno un lieto aprile anzi ti fa nel mondo un paradiso il sol del volto e degli occhi le stelle e l tranquillo seren del vago riso ma l intelletto che si chiaro dielle il celeste Motor a sua sembianza unito in lei con l altre cose belle quegli altri pregi in modo sopravanza che l human veder nostro non perviene,3
UA11_2,a mirar tal virtute in tal distanza A pena l occhio corporal sostiene lo splendor de la fronte in cui mirando abbagliato e confuso ne diviene questa la donna mia dolce girando l aria fa tutta sfavillar d intorno e pon le nubi e le tempeste in bando Di rose e di viole il mondo adorno rende l lume del ciglio con cui lieta primavera perpetua fa soggiorno Oime qual empio influsso di pianeta unica di quest occhi e vera luce subito mi t asconde e mi ti vieta Chi l nostro paradiso altrove adduce,0
UA11_3,Adria meco percio dogliosa e trista che n tenebre il di nostro si riduce Ogni altro oggetto lasso me m attrista hor che del vago mio splendor celeste mi si contende la bramata vista Ben del pensier con l egre luci e meste scorgo Verona invidiosamente che de miei danni lieta si riveste Veggo lasso e rivolgo con la mente ne l altrui gioia e ne l altrui diletto via piu grave l mio danno espressamente Adria per costei fosti almo ricetto di tutto l ben ch a noi dal ciel deriva quant ei ne suol piu dar sommo e perfetto,13
UA11_4,hor di lei tosto indegnamente priva per questa del tuo lido antica sponda torbido l mar risuona in ogni riva Ben tanto piu si fa lieta e gioconda Verona e di fiorito e dolce maggio nel maggior nostro verno e ghiaccio abonda Quivi del mio bel sol l amato raggio spiega le tante sue bellezze eterne che d ir al cielo insegnano il viaggio Per virtu di tal lume in lei si scerne vestir le piante di novel colore e giunger forza a le radici interne L aura soave e l pretioso odore che da le rose de la bocca spira,2
UA11_5,questa figlia di Pallade e d Amore nutrimento vital per tutto inspira si ch a quel refrigerio in un momento tutto risorge e rinasce e respira e de la voce angelica il concento i fiumi affrena e i monti ad udir move e l ciel si ferma ad ascoltarla intento il ciel che in Adria piange e ride altrove la ve la dolce mia terrena dea gratia e dolcezza dal bel ciglio piove e quel ricetto estremamente bea dov ella alberga per destin felice d un altro amante e per mia stella rea Altri del mio penar buon frutto elice,1
UA11_6,del mio bel sol la luce altri si gode e io qui piango nudo e infelice Ma s ella l mio dolor intende e ode perch a levarmi l affamato verme non vien dal cor che si l consuma e rode E se non m ode o mie speranze inferme poi che l ciel chiude a miei sospir la strada contra cui vano e quanto huom mai si scherme Ma tu si aventurosa alma contrada ch a pena un tanto ben capi e ricevi qual chi confuso in gran dolcezza cada d Adria i diletti a fuggir pronti e lievi mira e dal nostro danno accorta stima il volar de tuoi di fugaci e brevi,6
UA11_7,Hor ti vedi riposta ad alta cima ne pensi forse come d alto grado le cose eccelse la fortuna adima stabil non e di qua giu l bene e rado piu d un momento dura e l pianto e l duolo trova per mezzo l allegrezza il guado Ma pur felice aventuroso suolo che quel momento al goder nostro dato possiedi un ben cosi perfetto e solo Pian poggio fonte e bosco fortunato ch a un guardo a un sol toccar del vago piede forma prendete di celeste stato l alto e novo miracol che n voi siede a farvi basti in tanto spatio eterno,1
UA11_8,tutto quel ben ch al suo venir vi diede si che mai non v offenda o ghiaccio o verno ned altro influsso rio ma sempre in voi sia la stagion de fior lieta in eterno pur che tosto colei ritorni a noi al nido ov ella nacque che senz essa mena tristi ed oscuri i giorni suoi Deh torna luce mia del raggio impressa de la divinita qui dove mai pianger la tua partita non si cessa Tempo e di ritornar madonna homai a consolar de la vostr alma vista di questa patria i desiosi rai a dar a la mia mente inferma e trista,27
UA11_9,col dolce oggetto del bel vostro lume rimedio contra l duol che si l attrista e se troppo l mio cor di voi presume datemi in pena che del vago volto da vicin lo splendor m arda e consume ne de begli occhi altrove sia rivolto il doppio sol fin che n polve minuta non mi vediate dal mio incendio volto e per farlo affrettate la venuta,4
UA14_1,Non piu guerra ma pace e gli odi e l ire e quanto fu di disparer tra noi si venga in amor doppio a convertire La mia causa io rimetto in tutto a voi con patto che per fin de le contese amici piu che mai restiamo poi non mi basta che l armi sian sospese ma per stabilimento de la pace d ogni parte si lievino l offese Che nascesse tra noi rissa mi spiace ma se lo sdegno in amor s augumenta che tra noi si sdegnassimo mi piace e se pur ragion vuol ch io mi risenta e vendicata sia l ingiuria mia,42
UA14_2,de la qual foste ognihor ministra intenta voglio con l armi de la cortesia invincibil durar tanto a la pugna che conosciuto al fin vincitor sia Ne questo da l amor grande repugna anzi con queste e non mai con altre armi ogni spirto magnanimo s oppugna O se voleste incontra armata starmi se voleste tentar con forza tale se possibil vi sia di superarmi fora l mio stato a quel di Giove eguale forse troppo e la speranza ardita che studia di volar non havendo ale Somma felicita de la mia vita,90
UA14_3,sarebbe in questo stato che teneste da nuocermi la mente disunita ma s a l opere mie ben attendeste cosi precipitosa ne lo sdegno a ciascun passo meco non sareste L ira e bensi de l affettion segno ma che attende a introdur nel nostro petto quanto puo l odio con acuto ingegno cosi l languir giacendo infermo in letto segno e di vita perche l huom ch e morto cosa alcuna patir non puo in effetto ben per l infermita vien altri scorto a morir e quant e piu l mal possente al fin s affretta in termine piu corto,68
UA14_4,Dal vostro sdegno subito e ardente S e in voi punto ver me d Amore attendo Che siano tutte le reliquie spente E per questo talvolta anch io m accendo E non per ira ma per dolor molto Batto le man vocifero e contendo Vedermi dal mio Amor il premio tolto Ne questo pur ma in altretanta pena Vederlomi in su gli occhi oime rivolto per disperation questo mi mena a quel che piu mi spiace e pur l eleggo poi che l preciso danno assai s affrena Con la necessita mi volgo e reggo dapoi che la ruina manifesta,46
UA14_5,de le speranze mie tutte preveggo ma non percio nel cor sempre mi resta di piacervi talento e di servirvi anzi in me piu tal brama ognihor si desta La mia ragion verrei talvolta a dirvi ma perche so che romor ne sarebbe col silenzio m ingegno d obedirvi Non so ma forse ch a taluno increbbe del viver nostro insieme che l suo tosco nel nostro dolce a spargerlo pronto hebbe Insomma dal mio canto non conosco d havervi offeso se l mio amor estremo meritar pena non m ha fatto vosco ma seguite crudel questo mai scemo,40
UA14_6,non diverra ma nel mio cor profondo vivo si serbera fino a l estremo vivra di questo il mio pensier giocondo benche per tal cagion di pianto amaro di lamenti e sospiri e doglia abondo Ecco che nel duello mi preparo con l armi del mio mal de le mie pene de l innocentia mia sotto l riparo Non so se l vostro orgoglio ne diviene maggior o se s appiana mentre mira ch io verso l pianto da le luci piene ben talhor l umilta estingue l ira ma poi talhor l accende onde quest alma tra speranza e timor dubbia si gira,47
UA14_7,Ma d armi tali pur sotto aspra salma mi rendo in campo a voi madonna vinto e nuda porgo a voi la destra palma Se non s e l odio nel cor vostro estinto mi sia da voi col preparato ferro un mortal colpo in mezzo l petto spinto pur troppo armata e so ben ch io non erro contra me sete e io del seno ignudo l adito ai vostri colpi ancor non serro Quel dolce sguardo humanamente crudo son l armi ond ancidete il tristo core in cui viva bench empia ognihor vi chiudo gli strali e l foco e l laccio son d Amore l alte vostre bellezze a me negate,40
UA14_8,onde cresce l desio la speme more Queste in mio danno aspra guerriera usate e quanto piu di lor sete gagliarda tanto piu pronta a le ferite siate Qual cosa dal ferirmi vi ritarda Forse vi giova che d acerba fiamma senza morir per voi languisca e arda Lasso ch io mi distruggo a dramma a dramma ne de la mia nemica il mio gran foco punto il gelido petto accende o infiamma ella si prende i miei martiri in gioco misero me che pur a nove piaghe dentro l mio petto non si trova loco Di quella fronte e de le luci vaghe,17
UA14_9,e del dolce parlar fur gli aspri colpi che n parte fer quell empie voglie paghe Volete ch io non pianga e non v incolpi e di quanto in mio scempio havete fatto di voi mi lodi e non sol vi discolpi L armi prendete ad impiagarmi ratto e l mio duol disgombrando con la morte fate degno di voi magnanimo atto A riconciliar l irata sorte onde l ciel mi minaccia oltraggio e scorno pigliate in man la spada ardita e forte Ecco che disarmato a voi ritorno e per finir il pianto a qualche strada ai vostri piedi humil mi volgo intorno,61
UA14_10,del vostro sdegno la tagliente spada s altro non giova homai prendete in mano e sopra me ferendo altera cada Ripetete pur via di mano in mano mentre dal segno alcun colpo non erra e che l oggetto havete non lontano breve fatica queste membra atterra lacere e tronche d amorosa doglia non punto accinte a contrastar in guerra e s ancor ben potessi non n ho voglia ma di morirvi inanzi eleggo pria ch alcun riparo in mia difesa toglia Potete se vi piace essermi ria e quando usar l asprezza non vi piaccia,64
UA14_11,potete se vi piace essermi pia Quanto a me pur ch a voi si sodisfaccia vi dono sopra me podesta franca legato piedi e mani e gambe e braccia e vi mando per fede carta bianca c habbiate del mio cor dominio vero si che veruna parte non vi manca Del resto assai desio piu che non spero ne so se in via di straziar m habbiate fatto l invito o se pur da dovero Aspettero che voi me n accertiate,64
UA1_1,S io v amo al par de la mia propria vita donna crudel e voi perche non date in tanto amor al mio tormento aita E se invano merce chieggio e pietate perch almen con la morte quelle pene ch io soffro per amarvi non troncate So che remunerar non si conviene mia fe cosi ma quel mal che ripara a un maggior mal vien riputato bene piu d ogni morte e la mia doglia amara e morir di man vostra in questo stato gratia mi fia desiderata e cara Ma com esser puo mai che dentro al lato molle il bianco gentil vostro bel petto,28
UA1_2,chiuda si duro cor e si spietato Com esser puo che quel leggiadro aspetto voglie e pensier cosi crudi ricopra che l servir humil prendano in dispetto La gran bellezza a voi data di sopra spender in morte di chi v ama e in doglia qual potete peggior far di quest opra Cio da l human desir vostro si toglia e n sua vece vi penetri a la mente conforme a la belta pietosa voglia Cosi dentro e di fuor chiara e splendente sarete d ogni eta vero ornamento non pur di questo secolo presente Pria che de be crin l or si faccia argento,35
UA1_3,da custodir e quel che poi si perde chi l lascia in man del tempo in un momento e se ben sete d eta fresca e verde Nulla de gli anni e piu veloce cosa si ch a tenervi dietro il pensier perde E mentre di qua giu nessun ben posa Nasce e spar la belta piu che baleno Non che qual nata e secca a un tempo rosa Ma poi chi la pieta chiude nel seno Col merto de la fama sua ravviva le chiome bionde e l viso almo e sereno Dunque per farvi al mondo eterna e diva Amica di pieta verso chi v ama Siate di crudelta nemica e schiva,16
UA1_4,O se vedeste in me l ardente brama C ho di servir voi sola a tutte l hore Con quel pensier ch ogn hor vi chiede e ama Se mi vedeste in mezzo l petto il core A me son certo che null altro amante Pareggereste nel portarvi amore Ma guardatemi l cor fuor nel sembiante Pallido e mesto e nel mio venir solo Di e notte con pie lasso e cor costante e conoscendo il mio soverchio duolo E come in lui convien chogn hor trabbocchi Di pene cinto da infinito stuolo volgete a me pietosamente gli occhi A veder come presso e di lontano,7
UA1_5,Quinci ogn hor empio amor l arco in me scocchi stendete a me la bella e bianca mano A rinovar il colpo e che in tal guisa Il sen piu m apre e insieme il rende sano belta d ogni essempio altro divisa Di cui l anima in farsi humil soggetta Stando lieta qua giu s imparadisa Amor da que begli occhi in me saetta Con tal dolcezza che l mio espresso danno Via piu sempre mi giova e mi diletta en questi al chiaro Sole invidia fanno Bench ancor Febo con diletto mira le bellezze che tante in voi si stanno di queste vago Apollo arde e sospira,16
UA1_6,E per virtu di tai luci gioconde Il suo saper in voi benigno inspira E mentre questo in gran copia v infonde Move la chiara voce al dolce canto ch a bei pensier de l animo risponde La penna e l foglio in man prendete intanto e scrivete soavi e grate rime Ch ai Poeti maggior tolgono il vanto O bella man che con bell arte esprime Si leggiadri concetti e le sue forme Dentro l mio cor felicemente imprime De l antico valor segnando l orme Questa ne va si candida e gentile Svegliando la virtu dove piu dorme,3
UA1_7,Ne pur rinova il glorioso stile Del poetar si celebre trascorso Che non hebbe fin qui par ne simile Ma de le menti afflitte alto soccorso E quella man ne l amorosa cura Che quivi ha l suo rifugio e l suo ricorso Di viva neve man candida e pura Che dolcemente il cor m ardi e consumi Per miracol d amor fuor di natura E voi celesti e gratiosi lumi Ch ardor e refrigerio in un mi sete E parer gli altrui rai fate ombre e fumi Perch a me l vostro aviso contendete E non piu tosto con pietosi modi,6
UA1_8,Al mio soccorso oime vi rivolgete Ne pero chieggio che disciolga i nodi Che ntorno al cor m ordio la man si vaga Ne che in alcuna parte men m annodi Non chiedo ch entro al sen saldi la piaga il bel guardo gentil che in me l impresse D amor con arte lusinghiera e vaga Da quelle mani e da le braccia stesse Esser bramo raccolto in cortesia E che l mio laccio stringan piu sempre esse Bramo che quella vista umana e pia si volga al mio diletto e del bel viso E de la bocca avara non mi sia O che grato e felice paradiso,53
UA1_9,Dal goder le bellezze in voi si rade non si trovar giamai donna diviso donna di vera e unica beltade E di costumi adorna e di virtude Con senil senno in giovenil etade O che dolce mirar le membra ignude E piu dolce languir in grembo a loro C hor a torto mi son si scarse e crude Prenderei con le mani il forbito oro De le treccie tirando de l offesa Pian piano in mia vendetta il fin thesoro Quando giacete ne le piume stesa che soave assalirvi e in quella guisa levarvi ogni riparo ogni difesa,3
UA1_10,Venere in letto ai vezzi vi ravvisa a le delitie che n voi tante scopre Chi da pieta vi trova non divisa Si come nel compor de le dotte opre de le nove Castalie in voi sorelle L arte e l ingegno a l altrui vista s offre E cosi l vanto havete tra le belle di dotta e tra le dotte di bellezza E d ambo superate e queste e quelle E mentre l uno e l altro in voi s apprezza D ambo sarebbe l honor vostro in tutto Se la belta non guastasse l asprezza Ma se n voi la scientia e d alto frutto Perche de la bellezza il pregio tanto,59
UA1_11,Vien da la vostra crudelta distrutto Accompagnate l opra in ogni canto E come la virtu vostra ne giova La belta non sia seme del mio pianto In tanto amor tanto dolor vi mova Si che di riparar ai tristi affanni Entriate meco in lodevole prova S al tempo fa si gloriosi inganni La vostra musa la belta non faccia A se medesma irreparabil danni A Febo e degno che si sodisfaccia Dal vostro ingegno ma da la beltate A Venere non meno si compiaccia le tante da lei gratie a voi donate,73
UA1_12,Spender devete in buon uso si come di quelle che vi diede Apollo fate Con queste eternerete il vostro nome Non men che con gli inchiostri e lento e infermo Farete il tempo e le sue forze dome Per la bocca di lei questo v affermo Non lasciate Ciprigna per seguire Delio ne contra lei tentate schermo Che Febo se le inchina ad obedire Ne puo far altrimenti se ben poi Gran piacer tragge in cio dal suo servire Cosi devete far ancora voi Seguitando l essempio di quel dio che v infonde i concetti e i pensier suoi,86
UA1_13,La bellezza adornate col cor pio si che con la virtu ben s accompagne lontan da ogni crudel empio desio Queste in voi la pieta faccia compagne E in tanto vi rincresca com e degno D un che de l amor vostro ogn hora piagne E son quell io che humile a voi ne vegno Cercando di placar con dolci preghi La vostra crudeltate e l vostro sdegno Merce da voi per Dio non mi si nieghi Donna bella e gentil ma in tanta guerra Benigno il vostro aiuto a me si pieghi Cosi sarete senza par in terra,85
UA4_1,A voi la colpa a me donna s ascrive il danno e l duol di quelle pene tante che l mio cor sente e l vostro stil descrive L alto splendor di quelle luci sante recando altrove e l lor soave ardore ai colpi del mio amor foste un diamante Io vi pregai dagli occhi il pianto fore sparsi largo e sospir gravi del petto non m aiuto pieta non valse amore Valse via piu che l mio l altrui rispetto e benche humil merce v addimandai pur sol rimasi in solitario tetto D ir altrove eleggeste io sol restai com a voi piacque e la mia dura sorte,1
UA4_2,si che invidia ai piu miseri portai E s hor avvien che a voi pentita apporte alcun dolore il mio grave tormento in cio degno e ch amando io mi conforte Dunque per me del tutto non e spento quel foco di pieta ch ove dimora fa d animo gentil chiaro argomento Di voi cui l ciel tanto ama e l mondo honora di bellezza e virtute unico vanto con cui le Gratie fan dolce dimora gran prezzo e ancor se nel corporeo manto dove star con Amor Venere suole virtu chiudete in ciel gradita tanto Se l vostro cor del mio dolor si duole,39
UA4_3,s egualmente risponde a miei desiri o vostre doti e mie venture sole Tra quanto Amor le penne aurate giri non ha chi com io dolce arda e sospire ne tra quanto del sol la vista miri Dolc e quant e piu grave il mio languire se qual nel vostro dir pietoso appare sentite del mio mal pena e martire Che poi non mi cediate nell amare esser non puo che la mia fiamma ardente nel gran regno amoroso non ha pare Troppo benigno a miei desir consente il ciel se dal mio cor la fiamma mossa vi scalda il ghiaccio della fredda mente,9
UA4_4,In voi non cerco affetto d egual possa quel ch a far di duo uno un di duo viene e duo traffigge di una sol percossa Troppo del viver mio l hore serene forano e tanto piu il mio ben intero quanto piu raro questo amando avviene quanto Amor men sostien sotto l suo impero che n duo cor sia una fiamma egual partita tanto piu andrei de la mia sorte altero Si come troppo e la mia speme ardita che si audaci pensieri al cor m invia per strada dal discorso non seguita da l un canto il pensar si com io sia verso l vostro valor di merto poco,67
UA4_5,dal soverchio sperar l alma desvia da l altro Amor gentil ch adegui invoco la mia tanta con voi disagguaglianza e gridando merce son fatto roco D Amor ch a nullo amato per usanza perdona amar dove un bel petto serra pensier cortesi invoco la possanza quella onde l ciel ei sol chiude e disserra e perch a lui la terra e poco bassa gli spirti for de l imo centro sferra prego che l alma travagliata e lassa sostenga e se non cio vaglia pietate la dove l vostro orgoglio non s abbassa Di merce sotto aspetto non mi date,45
UA4_6,lusingando martir tanto piu ch io v adoro e quanto prima ritornate ch al lato starvi ogn hor bramo e desio,6
UA6_1,Contrari son tra lor ragion e Amore e chi n Amor aspetta antivedere di senso e privo e di ragion e fuore Tanto piu in prezzo e da doversi havere vostro discorso in cui havete eletto voler in stima la virtu tenere e bench io di lei sia privo in effetto con voi di possederla il desio vale si che del buon voler premio n aspetto e se l timor de l esser mio m assale poi mi fa contra i merti miei sperare che s elegge per ben un minor male Io non mi vanto per virtu d andare a segno che l amor vostro acquistando,89
UA6_2,mi possa in tanto grado collocare ma so ch un alma valorosa quando trova huom che l falso abhorre e segue il vero a lui si va con diletto accostando e tanto piu se dentro a un cor sincero d alta fe trova affettion ripiena come nel mio ch un di mostrarvi spero se l non poter le voglie non m affrena,25
UA7_1,Dunque l alta belta ch amica stella con si prodiga mano in voi dispensa d amor tenete e di pieta rubella Quell alma in cui posando ricompensa di molt anni l error la virtu stanca dar la morte a chi v ama iniqua pensa Lasso e che altro a far del tutto manca horribile e amara questa vita e rovinosa in strada oscura e manca se non che sia col mal voler unita d una bellezza al mondo senza eguale la forza insuperabile infinita Ma perche da l inferno ancor non sale Tesifone e Megera ai nostri danni,66
UA7_2,se scende a noi del ciel cotanto male Ben sei fanciul piu d ingegno che d anni Amor e d occhi e d intelletto privo se l tuo regno abbandoni in tanti affanni Te cui non hebbe di servir a schivo Giove con tutta la celeste corte e ch a Dite impiagar festi anco arrivo te del cui arco il suon vien che riporte spoglie d innumerabili trofei contra chi piu resiste ognihor piu forte te cui soggetti son gli huomini e i dei non so per qual destin fugge e disprezza con la mia morte ne le man costei Ma se contrario a quel che n ciel s avezza,42
UA7_3,Ella sen va da le tue forze sciolta Per privilegio de la sua bellezza A la tua stessa madre hor ti rivolta Ch unico essempio di belta fu tanto Pur piagata da te piu d una volta E s a lei toglie la mia donna il vanto D ornamento e di gratie a lei che giova L esserti madre poi da l altro canto Se vinta da costei Venere e in prova E se Minerva in scientia e in virtute A costei molto inferior si trova Tanto piu sciegli le saette acute Che piu gloria ti fia di questa sola Che di tutt altre in tuo poter venute,18
UA7_4,Per l universo l ali stendi e vola Di cerchio in cerchio Amor e si vedrai Che questa il pregio a tutte l altre invola E s al tuo imperio aggiunger la saprai Quanto l tuo honor sovra i Dei tutti gio Tanto maggior di te stesso verrai Benche lo sventurato in cio son io Che benche stata sia costei sicura Da l armi ognihor del faretrato Dio Non e stata pero sempre si dura Che non habbia ad amor dato ricetto Per pieta nel suo sen non per paura Com ad ubidiente humil soggetto Ad amor ansioso e di lei vago,34
UA7_5,L adito aperse del suo gentil petto Quinci l suo desir proprio a render pago Al suo arbitrio d amor l armi rivolse Qual le piacque a fermar solingo e vago Si che dovunque saettando colse Col doppio sol di quie celesti lumi A se gran copia d amadori accolse E con leggiadri e candidi costumi Diletto l mondo in guisa che la gente D arder per lei vien ch arda e si consumi Gran pregio in se tener unitamente Rara del corpo e singolar beltate Con la virtu perfetta de la mente Di cosi doppio ardor l alme infiammate,51
UA7_6,Senton lor foco di tal gioia pieno Che quanto egli e maggior piu son beate Anch io lo ncendio che mi strugge il seno Sempre piu bramerei che n tale stato S augumentasse e non venisse meno S io non fossi ne so per qual mio fato In mille espresse e angosciose guise Da lei miser fuggito e disprezzato Che se l trovar l altrui voglie divise Da le nostre in amor e di tal doglia Che restan le virtu del cor conquise Quanto convien ch io lagrimi e mi doglia Di vedermi abhorrir con quello sdegno Che di speme e di vita niun mi spoglia,26
UA7_7,E s io mi lagno e se di pianto pregno Porto l cor che l duol suo sfoga per gli occhi Miser qual io d amor non ha l gran regno Non basta che fortuna empia in me scocchi Tanti colpi ch altrui mai non aviene Che n questa vita un si gran numer tocchi Che sospirar e pianger mi conviene Di cio che la mia donna fuor d ogni uso Al mio stratio piu cruda ognihor diviene Et s io del pianto il viso smorto infuso Del cielo e de le stelle mi richiamo Et hor amor hor lei gridando accuso Che poss io far se in premio di quant amo Giunto da l altrui orgoglio a tal mi veggo,1
UA7_8,Che la morte ancor sorda al mio mal chiamo E col pensier ond io vaneggio hor chieggo D amor aita e hor per altra strada Sempre in vano al mio scempio oime proveggo Ma poi che l ciel destina e cosi vada Che per sicura e dilettosa via Dove l ben trovan gli altri io pera e cada Satiati del mio mal fortuna ria Poi di me quando sarai stanca e satia Qual tuo gran pregio e qual acquisto fia E tu Amor dentro e fuor mi struggi e stratia Che tanto m e l mio affanno di contento Quant ei l orgoglio di Madonna satia Ben a i successi de le cose intento,10
UA7_9,Di lei m assale immoderata tema Che n lei vendichi l Cielo il mio tormento Questo fa in parte la mia gioia scema Anzi s io voglio raccontar il vero Son sempre oppresso da una doglia e strema Che se meco Madonna usasse impero Gratissimo il servirla mi saria Con affetto di cor vivo e sincero Ma che invece di spender Signoria A dilettar la circostante turba Mi stratie sotto acerba tirannia Questo m affligge l animo e mi turba Ne per le mie querele e i miei lamenti L opera incominciata ella disturba,21
UA7_10,Ma quasi mar ne i procellosi venti Nel mio chiedder merce via piu s adira E cela di pieta gli occhi suoi spenti Da me torcendo altrove i lumi gira E gran materia e di sua crudeltate Quanto per me si lagrima e sospira O donna pregio de la nostra etate Anzi di tutti i secoli se n voi Non guastasse l orgoglio la beltate Ond avvien che l mio amor cosi v annoi E s a morir davanti non vi vengo Ancor offesa vi chiamate poi Quanto faccio e di quanto ch io m astengo Di me le vostre voglie a render paghe,20
UA7_11,Vi spiace e merto di vostr odio ottengo Ma perche l vostro sdegno ognihor m impiaghe Dolci son di quel volto le percosse E de le vostre man candide e vaghe Qualunque affetto in voi giamai si mosse Tutto fate con gratia de vostri atti Chiunque il dotto e buon maestro fosse Quai tenesser con voi natura patti Ancor de l ire vostre e de l offese Tutti gli huomini restan soddisfatti Farvi perfetta a tutte prove intese L influsso donator d ogni eccellenza E benigno la man verso voi stese Quinci del Ciel l altissima potenza,78
UA7_12,Si vede in molti effetti discordanti C han di virtute in voi tutti apparenza O che dolci o che cari e bei sembianti Ch alte maniere quelle vostre sono Da farvi i Dei venir qua giuso amanti E se com io pur volentier ragiono De le gratie che l ciel tante in voi pose Con singolar non piu veduto dono Non mi teneste d ogni parte ascose Quelle vostre divine e rare parti Di che vostra persona si compose Non foran si angosciosi da me sparti Sospiri ne di lagrime vedresti Avampando cor misero innondarti,26
UA7_13,Ma dond avien che n me lasso si desti La speme che per prova intendo come Faccia sempre i miei di piu gravi e mesti E pur chiamando di mia donna il nome Vera unica al mondo eccelsa Dea Convien ch a lei mi volga e ch io la nome Deh non mi siate cosi iniqua e rea Che l mio mal sia l ben vostro e che m ancida Quella vostra belta che gli altri bea Ma quell amor che v ha tolto in sua guida E che tien ne cor vostro il suo bel seggio La crudelta per me da voi divida Ch io piangendo humilmente ancor vel chieggio,24
UA9_1,Donna la vostra lontananza e stata a me vostro fedel servo e amante morte tanto crudel quanto insperata Nel gentil vostro angelico sembiante habitar l alma e l mio cor vago suole e ne le luci si leggiadre e sante queste fur risplendente unico sole sovra i miei di senza lor tristi e negri e di quel pieni ond huom via piu si duole come sono a me adesso orbati e egri in questa sepoltura de la vita che non fia senza voi che si reintegri Con voi l anima mia s e dipartita anzi l mio spirto e l anima voi sete,61
UA9_2,e tutta la virtu vitale unita e s huom morto parlar vien che si viete non io ma di me parla in cambio quella che ne le vostre man mia vita avete Questa non pur vi scrive e vi favella per miracol d Amor in cotal guisa che ne l esser io morto in voi vive ella ma stando dal cor vostro non divisa vi susurra a l orecchie di segreto e l mio misero stato vi divisa Ne percio del mio male altro ben mieto se non ch agli occhi vostri ei si figura con spettacolo a voi gioioso e lieto e mentre meco ognihor v innaspra e indura,74
UA9_3,superate ne l essermi crudele le fiere mostruose a la natura Lasso ch io spargo ai venti le querele anzi e un percuoter d onde a duro scoglio quanto mai di voi pianga e mi querele Mosso s insuperbisce il vostro orgoglio si come l mar a l impeto de venti mentre a ragion con voi di voi mi doglio e hor per far piu gravi i miei tormenti per levarmi l ristoro ch io sentia nel formarvi propinquo i miei lamenti n andaste a volo per diversa via quando men sospettava a dimostrarvi in tutti i modi a me contraria e ria,37
UA9_4,Qual neve sotto l sol piangendo sparvi con quest orma di vita e con quest ombra vana e insufficiente a seguitarvi anzi da miei sospir cacciata e sgombra col vento ch a voi venne si risolse che spirando al bel sen fors hor v ingombra Empio destin ch altrove vi rivolse dal mirar lo mio stratio e quella pena che infinita al mio cor per voi s accolse Troppo era la mia vita alta serena darvi in presentia de la mia gran fede col vicin pianger mio certezza piena e riceverne asprissima mercede di presenti minacce e di ripulse,11
UA9_5,contrario a quel ch a la pieta si chiede Ben certo allhor benigno il ciel m indulse e troppo chiara ancor nel sommo sdegno la luce de vostr occhi a me rifulse Di gustar quel piacer non era degno ch io sentia nel vedervi aspro e mortale far piu sempre l mio duol con ogni ingegno hor lasso piango il mio passato male quando a le mie d amor gravi percosse non fu in dolcezza alcun diletto eguale Amor d acerbo colpo mi percosse di quel che di piacer e in tutto privo quando da me madonna vi rimosse Dianzi fu l viver mio lieto e giulivo,64
UA9_6,e hor a prova del mio mal cotanto sento l mio ben mentre di lui mi privo Deh tornate a veder il mio gran pianto venite a rinovar l aspre mie piaghe senza lasciarmi respirar alquanto di cio contente fian mie voglie e paghe che l mio duol da voi fatto ancor maggiore mirin da presso l alme luci vaghe A me fia d alta gioia ogni dolore e in gran pieta ricevera lo stratio e in dolce aita ogni aspra offesa il core pur ch a noi ritorniate in breve spatio,30
